SupplierPartNumber,Partnumber,Cost,CoreCost,TotalCost,Inventory
Standard DS180,38007561,16.85,0.00,16.85,99
DEA A2287,38007638,7.20,0.00,7.20,99
FelPro MS96010,38007733,25.79,0.00,25.79,99
EDELMANN-8501,38007744,9.04,0.00,9.04,99
Dorman 090005,38007745,1.88,0.00,1.88,99
Raybestos BH381279,38007848,22.79,0.00,22.79,99
EDEL-70629,38007859,15.01,0.00,15.01,99
Edelmann 70669,38007860,22.79,0.00,22.79,99
Edel-70669,38007861,22.79,0.00,22.79,99
FG19C,38008021,4.59,0.00,4.59,99
Carter M6399,38008028,14.43,0.00,14.43,99
Delphi MF007,38008061,17.63,0.00,17.63,99
Carter-M6984,38008065,3.53,0.00,3.53,99
VC31,38008143,35.79,0.00,35.79,99
VC193,38008144,58.79,0.00,58.79,99
FelPro FS7916PT2,38008720,74.79,0.00,74.79,99
FelPro FS8548PT16,38008723,103.79,0.00,103.79,99
200195,38010041,3.72,0.00,3.72,99
7200160,38010042,9.15,0.00,9.15,99
Motorad 7200180,38010043,9.15,0.00,9.15,99
RK8121,38010176,43.99,0.00,43.99,99
Dorman 76951,38010263,4.03,0.00,4.03,99
CU924,38010567,129.79,0.00,129.79,99
dorman-742250,38010575,29.79,0.00,29.79,99
Centric 12061085,38011055,45.79,0.00,45.79,99
Centric 12061086,38011056,48.79,0.00,48.79,99
Centric 12061087,38011057,33.79,0.00,33.79,99
272AP40,38011112,23.79,0.00,23.79,99
125.61116,38021974,141.79,0.00,141.79,99
134.66007,38023219,22.89,0.00,22.89,99
134.66008,38023220,15.57,0.00,15.57,99
98574A,38028385,37.79,0.00,37.79,99
MPR279,38028450,1.96,0.00,1.96,99
H14142,38028505,2.36,0.00,2.36,99
DORMAN 85806,50000024,2.37,0.00,2.37,99
H78092,50000030,7.08,0.00,7.08,99
W41034,50000183,13.85,0.00,13.85,99
DORMAN 675106,50000205,12.10,0.00,12.10,99
ACD  FR5LS,50000219,1.78,0.00,1.78,99
BUSSMANN SFE4,50000349,1.80,0.00,1.80,99
BUSSMANN SFE712,50000350,1.80,0.00,1.80,99
BUSSMANN SFE14,50000352,0.30,0.00,0.30,99
BUSSMANN SFE20,50000353,0.30,0.00,0.30,99
BUSSMANN AGX20,50000354,0.35,0.00,0.35,99
Carter M4004,50000418,31.79,0.00,31.79,99
BOSCH 66069,50000485,209.79,0.00,209.79,99
Wix 42063,50000507,10.25,0.00,10.25,99
ATP FO100,50000546,3.45,0.00,3.45,99
PS346,50000570,107.99,0.00,107.99,99
CU2789,50000606,65.79,0.00,65.79,99
USA33332,50000610,15.88,0.00,15.88,99
Dayco 17540,50000625,17.79,0.00,17.79,99
SS581T,50000699,11.28,0.00,11.28,99
Raybestos BC92318,50000740,21.79,0.00,21.79,99
P90045,50000783,18.07,0.00,18.07,99
FelPro RDS133141,50000924,3.63,0.00,3.63,99
DORMAN 680006,50001017,0.95,0.00,0.95,99
Autolite AR33,50001170,11.44,0.00,11.44,99
MF125,50001194,16.52,0.00,16.52,99
MC36367,50001196,60.79,0.00,60.79,99
DORMAN 803450,50001327,2.00,0.00,2.00,99
DEA 4713834,50001335,46.79,0.00,46.79,99
DORMAN 974040,50001375,16.04,0.00,16.04,99
22547180,50008426,112.79,0.00,112.79,99
MAHLE K27147,50047553,3.63,0.00,3.63,99
FelPro 60218,50048411,5.39,0.00,5.39,99
FelPro RDS11724,50054552,3.95,0.00,3.95,99
e219x30,50194695,40.79,0.00,40.79,99
DORMAN 9021029,50203006,20.79,0.00,20.79,99
Dorman 090052,50405732,1.40,0.00,1.40,99
Dorman 090172,50405824,1.94,0.00,1.94,99
D46454,50423699,12.62,0.00,12.62,99
DORMAN-56387,50434683,8.66,0.00,8.66,99
Dorman 520389,50440377,74.79,0.00,74.79,99
Dorman 594268,50443539,47.79,0.00,47.79,99
Dorman 604261,50444850,14.33,0.00,14.33,99
Dorman 604262,50444851,12.71,0.00,12.71,99
Dorman 902210,50451799,43.79,0.00,43.79,99
DORMAN-932203,50454500,165.89,0.00,165.89,99
Dorman 932204,50454501,142.79,0.00,142.79,99
VS-682,50465962,5.45,0.00,5.45,99
CA340A,50512392,9.62,0.00,9.62,99
CB583P10,50536065,16.42,0.00,16.42,99
CB-583P-20,50536068,16.42,0.00,16.42,99
