Vendor Part Number,Error
Sealed Power E180K60,"Expected brand prefix ""SEALED"" not found in ['KEMPARTS MSW/POWER TECH', 'KEMPARTS MSW/POWER TECH', 'KEMPARTS MSW/POWER TECH', 'KEMPARTS MSW/POWER TECH', 'KEMPARTS MSW/POWER TECH']"
93034,"Expected brand prefix ""93034"" not found in ['EDELMANN', 'REMY', 'SPECTRA PREMIUM']"
D233,"Expected brand prefix ""D233"" not found in ['PROMASTER BRAKE SYSTEMS', 'NAD XL', 'AUTOLINE', 'RAYBESTOS']"
AUTOLITE AP26 Platin,"Expected brand prefix ""AUTOLITE"" not found in ['PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE', 'PLATINUM DRIVELINE']"
9445,"Expected brand prefix ""9445"" not found in ['ANCHOR', 'S.A. GEAR', 'WIX', 'RAYBESTOS']"
58012,"Expected brand prefix ""58012"" not found in ['EDELMANN', 'USA STANDARD GEAR']"
5808,"Expected brand prefix ""5808"" not found in ['BURCO', 'GM GENUINE', 'SKF']"
Sealed Power 22441146,"Expected brand prefix ""SEALED"" not found in ['RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN', 'RAYBESTOS POWERTRAIN']"
4449,"Expected brand prefix ""4449"" not found in ['NGK', 'AMS AUTOMOTIVE / RHINOPAC', 'STRONGARM', 'BURCO', 'DRAW-TITE', 'LARES']"
61008,"Expected brand prefix ""61008"" not found in ['FEL-PRO', 'NISSENS']"
